cname,mname,mdesc,mhash,line,inst,attr,event,vtype,freq,record,value1,seqnum1,thread1,value2,seqnum2,thread2,value3,seqnum3,thread3,value4,seqnum4,thread4,value5,seqnum5,thread5,value6,seqnum6,thread6,value7,seqnum7,thread7,value8,seqnum8,thread8,value9,seqnum9,thread9,value10,seqnum10,thread10,value11,seqnum11,thread11,value12,seqnum12,thread12,value13,seqnum13,thread13,value14,seqnum14,thread14,value15,seqnum15,thread15,value16,seqnum16,thread16,value17,seqnum17,thread17,value18,seqnum18,thread18,value19,seqnum19,thread19,value20,seqnum20,thread20,value21,seqnum21,thread21,value22,seqnum22,thread22,value23,seqnum23,thread23,value24,seqnum24,thread24,value25,seqnum25,thread25,value26,seqnum26,thread26,value27,seqnum27,thread27,value28,seqnum28,thread28,value29,seqnum29,thread29,value30,seqnum30,thread30,value31,seqnum31,thread31,value32,seqnum32,thread32
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,17,26,"null",ARRAY_STORE_VALUE,int,1,1,300,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,17,27,"varindex=3,name=values,type=[I",LOCAL_STORE,object,1,1,[I@7e0b52e7,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,18,28,"null",LABEL,int,1,1,26,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,18,29,"null",LINE_NUMBER,void,1,1,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,18,30,"varindex=3,name=values,type=[I",LOCAL_LOAD,object,1,1,[I@7e0b52e7,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,18,31,"varindex=2,name=field,type=I",LOCAL_LOAD,int,1,1,2,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,18,32,"null",ARRAY_LOAD,object,1,1,[I@7e0b52e7,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,18,32,"null",ARRAY_LOAD_INDEX,int,1,1,2,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,18,32,"null",ARRAY_LOAD_RESULT,int,1,1,300,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selogger/testdata/SimpleTarget,main,([Ljava/lang/String;)V,d8479d1c,18,33,"varindex=4,name=v1,type=I",LOCAL_STORE,int,1,1,300,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
